id,age,birthdate,gender,name,occupation,portrait_path,phrases,status
11,,,Male,Rod Flanders,Student at Springfield Elementary School,/character/11.webp,"['Yay!!', 'What does gay mean??']",Alive
12,,,Male,Todd Flanders,Student at Springfield Elementary SchoolStudent at a religious private school (formerly),/character/12.webp,['I said I dont want any damn vegetables!'],Alive
13,1381,1886-09-15,Male,Charles Montgomery Burns,Owner & Director of the Springfield Nuclear Power Plant,/character/13.webp,"['Excellent!', 'Release the hounds!', 'Smithers!', 'Smithers, who is this ?', 'Simpson, eh?', 'Youre fired!', 'Oh, Fiddlesticks!']",Alive
14,,,Male,"Waylon Smithers, Jr.",Assistant to Mr. Burns,/character/14.webp,"['Yes, sir?', 'Thats Homer Simpson, sir - one of your [put-down]s from Sector 7G.', 'Actually, I value every second were together: from the moment I squeeze his orange juice in the morning, till I... tuck him in at night. Hes not just my boss, hes my best friend, too.', 'All right, thats it. You know, I used to wonder why Mr. Burns hated humanity. Now I know. You open your heart and they mock your very decency.']",Alive
15,,,Male,Krusty the Clown,Television personality,/character/15.webp,"['Hey hey, kids!', 'Hoohoohoohahaha!', 'Why you little!', 'Im Krusty The Clown! And I Love you!']",Alive
16,,,Male,Moe Szyslak,Bartender and Owner of Moe's Tavern,/character/16.webp,"['How ya doing?', 'Whaaaaaaat?', 'Whats-a-matter, Homer?', 'When I get a hold of you, Ill (insert threat here)', 'Hi ya, Midge.', 'Mike Rotch', 'Im a stupid moron with an ugly  face, and a big butt, and my butt smells, and I like to kiss my own butt.']",Alive
17,47,,Male,Apu Nahasapeemapetilon,Owner of the Kwik-E-Mart,/character/17.webp,"['Thank you! Come again.', 'That is a great dishonor to my ancestors and my God, but okay.', 'Okay, whatever.', 'Alright.', 'I cant believe you dont shut up!', '(Referring to Homer) He slept, he stole, he was rude to the customers. Still, there goes the best-damned employee a convenience store ever had.']",Alive
18,57,1953-07-08,Male,Seymour Skinner,Principal of Springfield Elementary School,/character/18.webp,[],Alive
19,,1945-03-31,Male,Gary Chalmers,Superintendent of Springfield Elementary School,/character/19.webp,"['SKINNERRRRRR!', 'Aurora Borealis? At this time of year, at this time of day, in this part of the country, localized ENTIRELY within your kitchen..?']",Alive
20,,,Female,Edna Krabappel,Fourth grade teacher at Springfield Elementary School (formerly),/character/20.webp,"['Ha!', 'These tests will have no effect on your grades. They merely determine your future social status and financial success. If any.', 'Do what I mean, not what I say.', 'No matter what youve done, I always thought there was a spark of decency in you, Bart Simpson, but I was wrong. I never thought Id say this to a child, but you are bad on the inside.', 'Remember: if you can teach one kid one thing, then today will be a success...']",Deceased
21,32,1963-01-18,Male,Otto Mann,School bus driver,/character/21.webp,[],Alive
22,10,,Male,Milhouse Van Houten,Student at Springfield Elementary,/character/22.webp,"['Sorry, Bart.', 'Get a load of that quote / unquote Santa!', 'The House always wins.', 'Hey, Bart, want to trade lunches?', 'My Glasses!', 'Everythings comin up Milhouse!', 'What a Rad!', 'Whazzup!!!', 'Stupid! Stupid! Stupid!', 'MOOOOOM! BARTS SWEARING!']",Alive
23,44,,Female,Luann Van Houten,Housewife,/character/23.webp,"['From now on, forget everything you thought you knew about Luann Van Houten. ']",Alive
24,,,Male,Kirk Van Houten,Unemployed,/character/24.webp,['I dont like the idea of Milhouse having two spaghetti meals in one day.'],Alive
25,8,1982-02-10,Male,Ralph Wiggum,Student at Springfield Elementary School,/character/25.webp,['Shes touching my special area!'],Alive
26,39,1954-04-20,Male,Barney Gumble,Helicopter pilot,/character/26.webp,"['BURRRRRRPPPP!', 'Dont cry for me, Im already dead.', 'Is that a new kind of Mace? Its really painful!']",Alive
27,,1955-04-13,Male,Carl Carlson,Safety Operations Supervisor at the Springfield Nuclear Power Plant,/character/27.webp,"['See, statements like that are why people think were gay.']",Alive
28,37,1955-04-20,Male,Lenny Leonard,Technical Supervisor at the Springfield Nuclear Power Plant,/character/28.webp,[],Alive
29,40,,Male,Clancy Wiggum,Chief of the Springfield Police Department,/character/29.webp,"['If anything goes wrong, just dial 911. Unless its an emergency.', 'It was only two days till he retired.', 'Cuff em, Lou.', 'Lets roll, boys!', 'Take em away, boys.', 'Book em, Lou.', 'Oh, dont worry, Im the pief of cholice. I mean, Im, uh, the beef with no cheese.']",Alive
30,,,Female,Sarah Wiggum,Housewife,/character/30.webp,"['Clancy!', 'Clancy! Use the remote!', 'I love you, Poppin Fresh, Aw Clancy!', 'Homer, can you make me look Fancy?']",Alive
31,,,Male,Julius Hibbert,Doctor at Springfield General Hospital,/character/31.webp,"['A-heh-heh-heh.', 'Have a wowwipop.', 'This man is dead.']",Alive
32,30,,Male,Lou,Police Sergeant,/character/32.webp,['Sweet.Uh... Chief?'],Alive
33,,,Male,"Jonathan Frink, Jr.",Professor,/character/33.webp,['Frink out'],Alive
34,,,Male,Professor Frink's son,Professor Frink's Inventions,/character/34.webp,[],Alive
35,31,1957-02-25,Male,Robert Terwilliger,Criminal Mastermind,/character/35.webp,"['Hello, Bart.', 'No! Thats German... for The Bart, The.']",Alive
36,,,Male,"Martin Prince, Jr.",Student at Springfield Elementary School.,/character/36.webp,"['Pick me, teacher, Im ever so smart!Dickety! Highly dubious.']",Alive
37,101,,Male,Nelson Muntz,Student and Bully at Springfield Elementary,/character/37.webp,['Ha Ha!'],Alive
38,15,,Male,Jimbo Jones,School Bully,/character/38.webp,"['Bite me.', 'Yeah, I love Grimby']",Alive
39,,,Male,Kearney Zzyzwicz,School student,/character/39.webp,"['First person to blink is a dead man.', 'Shut up.', 'Fixing the church should be our top priority! I say this as a teenager, and the parent of a teenager.']",Alive
40,15,,Male,Dolph Starbeam,School bully,/character/40.webp,[],Alive
41,,,Male,Stu Discothèque,Owner of Stu's DiscoSea Captain (formerly),/character/41.webp,"['Disco Stu wishes hed gone as Marilyn McCoo.', 'Disco Shrew can still boogaloo.', 'Big Band Stu says its 23 skidoo.']",Alive
42,,,Male,Joe Quimby,Mayor of Springfield,/character/42.webp,['Vote Quimby!'],Alive
43,60,,Male,Fat Tony,Mob boss,/character/43.webp,"['I dont get mad, I get stabby.', 'Whats a truck?', 'I prefer the cat. He hates Mondays, we can all relate.', 'I am not so much disappointed as I am blinded with rage.', 'You are listing my broken dreams.', 'Hey, wait a minute!', 'Why was I born a man?', 'Im afraid I must insist. You see, my wife, she has been most vocal on the subject of the pretzel monies. Wheres the money?, When are you going to get the money?, Why arent you getting the money now?, and so on. So please, the money.', 'I aint cried like this since I paid to see Godfather III.', 'Get your hand off my car.', 'How could you, Nicky? I wouldve given you everything. In the strip club of my heart, you held the key to the champagne room. I loved you, man!']",Deceased
44,,,Male,Louie (mafia),Mobster,/character/44.webp,"['You got it, boss.', 'I broke out of jail for this?', 'Whoa! Where did that come from?! Whoa!', 'Youre all talk, Hamill. You never even finished Jedi school.']",Alive
45,45,,Male,Melvin Van Horne,Children's entertainer,/character/45.webp,"['They say any publicity is good publicity.', 'I am Melvin Van Horne, and this is my associate, Herschel Krustofsky.', 'Everyones always kissing your ass. Well, Im not afraid to tell you youre a (*bleep*)!']",Alive
46,,,Male,Comic Book Guy,Owner of The Android's Dungeon & Baseball Card Shop,/character/46.webp,"['Worst. (Insert Noun). Ever!', 'Best (or greatest)  ever!', 'Ooh, loneliness and cheeseburgers are a dangerous mix!', 'Oh customers, how I hate them!']",Alive
47,,,Male,Kent Brockman,Channel 6 anchorman,/character/47.webp,"['Ive said it before and Ill say it again, democracy simply doesnt workNow, at the risk of being unpopular, this reporter places the blame for all of this SQUARELY on YOU, the viewers.']",Alive
48,,,Male,Groundskeeper Willie,Groundskeeper and Janitor at Springfield Elementary School,/character/48.webp,"['THEN GREASE ME UP, WOMAN!!!', 'Save yer strength, lad! Theres a whole field for you to resod yet!', 'Ach! Sounds like that gopher I caught in me lawnmower!', 'Guess theres some stones in your leaf bag, after all.', 'Save me from the wee turtles! They were too quick for me!', 'Uh-oh. The little fat boy and his family are in trouble.', 'Willie hears ya, Willie dont care.', 'Brothers and sisters are natural enemies, like Englishmen and Scots! Or Welshmen and Scots! Or Japanese and Scots! Or Scots and  Scots! Damn Scots! They ruined Scotland!']",Alive
49,39,,Male,Cletus Spuckler,Farmer,/character/49.webp,[],Alive
50,36,,Female,Brandine Spuckler,Farmer,/character/50.webp,['Dang Cletus!'],Alive
51,,,Male,Dr. Nick,Fraudulent Doctor,/character/51.webp,"['Hi, everybody!']",Alive
52,,,Female,Elizabeth Hoover,Teacher at Springfield Elementary School,/character/52.webp,[],Alive
53,85,,Female,Mona Simpson,Political activist (Formerly),/character/53.webp,"['You awful, awful man, get out of my sons grave!', 'It wasnt your fault, sweetie.']",Deceased
54,3540,,Male,Troy McClure,Actor,/character/54.webp,"['Hi! Im Troy McClure! You may remember me from such [films, TV shows, dates] as...']",Alive
55,,,Male,Timothy Lovejoy Jr.,Reverend of the First Church of Springfield,/character/55.webp,"['Hello, Ned.Damn Flanders.']",Alive
56,,,Female,Helen Lovejoy,Housewife,/character/56.webp,"['Wont somebody please think of the children?', 'Ned Flanders is on the phone.']",Alive
57,,,Female,Jessica Lovejoy,Student,/character/57.webp,"['Youre bad, and I like it.']",Alive
58,,,Male,Snake Jailbird,Criminal,/character/58.webp,"['...Bye!', 'See ya, cops!', 'Hoa!', 'Dude!']",Alive
59,,,Male,Eddie,Police officer,/character/59.webp,[],Alive
60,1000000,,Female,Kodos,Interstellar invader,/character/60.webp,[],Alive
61,,,Male,Duffman,Mascot for Duff Beer,/character/61.webp,"['Oh, yeah!', 'Duffman!', 'Duffman is here to refill your beer!']",Alive
62,,,Female,Sherri and Terri,Students at Springfield Elementary School,/character/62.webp,"['Im Sherri. Shes Terri. (Double balloon)', 'You must be nice to them - they could surround you!']",Alive
63,,,Male,Jasper Beardsley,Retired,/character/63.webp,"['Thats a paddlin.', 'You sunk my battleship!']",Alive
64,80,,Female,Jacqueline Bouvier,Retired,/character/64.webp,"['I have laryngitis and it hurts to talk. So Ill say one thing. You never do anything right.', 'You ruined my nap, just like you ruined my daughter’s life.']",Alive
65,55,,Male,Gil Gunderson,Various,/character/65.webp,[],Alive
66,47,,Male,Herman Hermann,Owner of Herman's Military Antiques,/character/66.webp,"['The key to Springfield was always Elm Street. The Greeks knew it. The Carthaginians knew it. Now know it.', 'God closes a door, he opens a gunshop!', 'Looks like the spider caught himself a couple of flies!']",Alive
67,,,Male,Artie Ziff,Owner of Ziffcorp (former),/character/67.webp,"['I thought we killed him!', 'Ach-hem!', 'Fellow Classmates. Instead of voting for some athletic superhero or a pretty boy, you elected me, your intellectual superior, as your king. Good for you!', 'You cant spell party without Artie! (Unless you spell party wrong... or Artie)']",Alive
68,34,,Male,Lionel Hutz,LawyerRealtorEstate ExecutorShoe Repairer,/character/68.webp,"['HEY, YOU! GET OUT OF MY OFFICE!', 'Mr. Simpson, this is the most blatant case of fraudulent advertising since my suit against the movie, The Neverending Story!', 'Youre one of a kind, Marge, and nobody deserves this more than you.']",Alive
69,,,Male,Jeremy Freedman,Various,/character/69.webp,[],Alive
70,,,Female,Mindy Simmons,Employee at SNPP (Fired),/character/70.webp,"['I wanna sneak in a quick nap before lunch.Cant talk. Eating.Homer you know how I feel, so its up to you. Look in your heart. I think youll see what you want.']",Alive
71,,,Female,Lindsey Naegle,Various,/character/71.webp,[],Alive
72,,,Female,Agnes Skinner,Retired,/character/72.webp,[],Alive
73,42,,Male,Larry Dalrymple,Unknown,/character/73.webp,[],Deceased
74,,,Female,Mrs. Muntz,Classy Girls Strip Club Pole Dancer,/character/74.webp,['My mom got too fat to work at Hooters!'],Alive
75,8,,Female,Janey Powell,Student,/character/75.webp,"['Lisa said a dirty word!', 'Are you going to marry a carrot, Lisa?', 'Wed like to include you, but you just dont fit in.', 'With friends like her, who needs acquaintances?', 'If you pile up all my dolls, itll reach the moon!']",Alive
76,,,Male,Kyle Williams,Student,/character/76.webp,['Mmya!'],Alive
77,88,,Male,Hans Moleman,Various,/character/77.webp,"['My name is Hans. Drinking has ruined my life. Im 31 years old!', 'Hello, this is Moleman in the Morning. Good Moleman to you. Today, part four of our series of the agonizing pain in which I live every daaaay.', 'A poem by Hans Moleman. I think that I shall never see, my cataracts are blinding me.', 'No ones gay for Moleman.', 'I was saying Boo-urns.']",Alive
78,55,,Male,Marvin Monroe,Psychologist,/character/78.webp,[],Alive
79,,1980-05-14,Female,Jenda,High school student,/character/79.webp,[],Alive
80,,,Male,Pedro Chespirito,Actor/TV Personality,/character/80.webp,"['Ay, ay, ay!']",Alive
81,,,Male,Rainier Wolfcastle,Actor,/character/81.webp,[],Alive
82,35,,Male,Frank Grimes,Nuclear Power Plant employee (Sector 7-G) (formerly),/character/82.webp,"['Im not your buddy, Simpson. I dont like you. In fact, I HATE you! Stay the hell away from me, because from now on, were enemies.', 'Im saying  whats wrong with America, Simpson. You coast through life, you do as little as possible, and you leech off of decent, hardworking people like me. Heh, if you lived in any other country in the world, youd have starved to death long ago. Youre a fraud, a total fraud.', 'I cant stand it any longer. This whole plant is insane. Insane, I tell you! (stammers, screams)', 'Whats this? Extremely high voltage. Well, I dont need safety gloves, because Im Homer Simp-!', 'We wanted to do an episode where the thinking was What if a real life, normal person had to enter Homers universe and deal with him? I know this episode is controversial and divisive, but I just love it. It really feels like what would happen if a real, somewhat humorless human had to deal with Homer. There was some talk [on NoHomers.net] about the ending—we just did that because 1. it’s really funny and shocking, 2. we like the lesson of sometimes, you just cant win—the whole Frank Grimes episode is a study in frustration and hence Homer has the last laugh and 3. we wanted to show that in real life, being Homer Simpson could be really dangerous and life threatening, as Frank Grimes sadly learned.']",Deceased
83,,,Male,Blue-Haired Lawyer,Lawyer,/character/83.webp,[],Alive
84,,,Male,Richard Texan,Business OwnerFormer Senator,/character/84.webp,[],Alive
85,,,Male,Charlie (SNPP),Dangerous Emissions Supervisor at the Springfield Nuclear Power Plant.,/character/85.webp,['Im Charlie! Everyones favorite Dangerous Emissions Supervisor of Sector 7G!'],Alive
86,,,Female,Manjula Nahasapeemapetilon,HousewifePart-time Kwik-E-Mart employee,/character/86.webp,[],Alive
87,10,,Male,Wendell Borton,Fourth grade student at Springfield Elementary School,/character/87.webp,[],Alive
88,13,,Female,Laura Powers,Babysitter,/character/88.webp,"['You know, if you were only old enough to grow a bad teenaged moustache, Id go out with you in a second.']",Alive
89,,,Male,Grandpa Van Houten,Retired,/character/89.webp,['Me and the new wife travel the country searching for adventure.'],Alive
90,,,Female,Eleanor Abernathy,"Taking care of cats, Doctor (formerly), Lawyer (formerly)",/character/90.webp,['Arrrriairar!!'],Alive
91,34,,Female,Lurleen Lumpkin,Country MusicianBarmaid,/character/91.webp,"['I used to play the field, I used to be a roamerBut the seasons turning round for me now,I finally bagged me a Homer!']",Alive
92,,,Male,Jesus Christ,Son of God,/character/92.webp,[],Alive
93,,,Male,Rex Banner,Replacement Chief of PoliceUnited States Treasury Agent,/character/93.webp,['Are you the Beer Baron?'],Unknown
94,,,Male,Wally Kogen,Travel Agent,/character/94.webp,[],Unknown
95,,,Male,L.T. Smash,LieutenantManager of the Party PosseNavy recruiter,/character/95.webp,[],Alive
96,,,Male,Vittorio DiMaggio,Mob boss,/character/96.webp,['My Apologies!'],Alive
97,1000000,,Male,Kang,Interstellar invader,/character/97.webp,[],Alive
98,10,,Male,Richard,Student,/character/98.webp,"['This gets uglier every year, any sign of Bart and Milhouse?', 'Were never gonna get anything past Principal Skinner.']",Alive
99,,,Male,Harlan Dondelinger,Principal of Springfield High School,/character/99.webp,[],Alive
100,,,Female,Alice Glick,Church Organist,/character/100.webp,[],Deceased
101,,,Male,Chester J. Lampwick,Cartoonist,/character/101.webp,['Eight-hundred billion dollars.'],Alive
102,10,,Female,Terri Mackleberry,Student,/character/102.webp,"['Isnt it amazing the same day you got a pool is the same day we realized we liked you?', 'The timing worked out great. Dont you think?', 'You ruined our undefeated season. You ruined everything, ruiner. ...My sister likes you.']",Alive
103,10,1980-04-30,Female,Sherri Mackleberry,Unknown,/character/103.webp,"['Isnt it amazing the same day you got a pool is the same day we realized we liked you?', 'The timing worked out great. Dont you think?', 'You ruined our undefeated season. You ruined everything, ruiner. ...My sister likes you.']",Alive
104,,,Female,Ruth Powers,Home-maker,/character/104.webp,[],Alive
105,,,Female,Stacy Lovell,EntrepreneurCreator of Malibu Stacy,/character/105.webp,"['Kudos, kudos']",Alive
106,,,Female,Beatrice Simmons,Retired,/character/106.webp,[],Deceased
107,,,Male,Chuck Berger,2nd Grade Student at Springfield Elementary School,/character/107.webp,[],Alive
108,10,,Male,Lewis Clark,Student,/character/108.webp,"['(Referring to Bart) Sometimes that kid just goes too far.', 'Hes Wendell, Im Lewis.']",Alive
109,,,Female,Alaska Nebraska,Singer/Actress,/character/109.webp,[],Alive
110,,,Female,Sophie Krustofsky,Student,/character/110.webp,[],Alive
111,10,,Female,Nikki McKenna,Student,/character/111.webp,"['Hey, vampires are cool outsiders who love girls who hate cheerleaders!']",Alive
112,,,Male,Sam (barfly),Target store employee,/character/112.webp,"['Okay, okay.']",Alive
113,,,Female,Martha Quimby,La Maison Derrière (Former),/character/113.webp,['Joseph!'],Alive
114,,,Male,Johnny Tightlips,Mobster,/character/114.webp,"['I aint sayin nothin!', 'Tell him to suck a lemon.', 'YOU are a hybrid; Half idiot, half moron.']",Alive
115,,,Male,Eddie Muntz,Former Circus Attraction,/character/115.webp,[],Alive
116,,,Female,Shauna Chalmers,Manager at Smart TykesKrusty Burger employee (formerly)Mother Hubbard's Sandwich Cupboard employee (formerly)Marijuana DealerStudent of Springfield High School,/character/116.webp,"['Im ShaunaAll seeing? Yeah, whens that last time you saw your feet?', 'Either the duck suffers or the kid does, or none of yous getting nothing from Shauna. Im Shauna.']",Alive
117,,,Female,Rachel Jordan,Lead singer of Kovenant,/character/117.webp,[],Alive
118,,,Male,Gerald Samson,Unknown,/character/118.webp,[],Alive
119,,,Male,Michael D'Amico,Student,/character/119.webp,[],Alive
120,48,,Female,Bernice Hibbert,Housewife,/character/120.webp,"['Ooh, Marge.']",Alive
121,,,Female,Cookie Kwan,Realtor,/character/121.webp,['Stay off the west side!'],Alive
122,,,Male,Richard Nixon,U.S. President (former),/character/122.webp,[],Deceased
123,,,Male,Roger Meyers Jr.,Chairman of I&S Studios,/character/123.webp,"['Hey, great, mail it to last week—. Ive got cartoons to make.']",Alive
124,,,Male,Seymour Skinner (real),Sergeant during the Vietnam War,/character/124.webp,[],Alive
125,,,Male,Doug (nerd),College Student,/character/125.webp,[],Alive
126,,,Male,Üter Zörker,Student at Springfield Elementary School,/character/126.webp,[],Alive
127,,,Male,George Washington,Former U.S. President and Former Surveyor,/character/127.webp,[],Deceased
128,,,Male,Kevin (Stealing First Base),4th Grade Student at Springfield Elementary School,/character/128.webp,[],Alive
129,,,Male,Jebediah Springfield,Founder of Springfield/Pirate/Murderer,/character/129.webp,['A noble spirit embiggens the smallest man!'],Deceased
130,,,Male,Matt Groening,Creator of Futurama & Life in Hell,/character/130.webp,['Your creator is TVs most beloved animation visionary.'],Alive
131,,,Female,Lucille Botzcowski,Criminal,/character/131.webp,[],Alive
132,,,Male,Bill Clinton,Former President of the United States,/character/132.webp,"['I am Clin-ton. As overlord, all will kneel trembling before me and obey my brutal command. End communication.']",Alive
133,53,1954-10-23,Male,Dewey Largo,"Music Teacher,Worker at Starving Teachers Moving Co.",/character/133.webp,"['Nobody likes Milhouse!', 'Simpson, do you find something funny about the word ¨TromBONER¨?!']",Alive
134,8,,Female,Allison Taylor,Student,/character/134.webp,[],Alive
135,,,Female,Darcy,High school student,/character/135.webp,"['I need strawberries right now.', 'Dad, lay off the Bartman.']",Alive
136,,,Male,Hank Scorpio,Owner of Globex Corporation/Supervillain,/character/136.webp,"['Scorpio! Hell sting you with his dreams of power and wealth. Beware of Scorpio! His twisted twin obsessions are his plot to rule the world, and his employees health. Hell welcome you into his lair, like the nobleman welcomes his guest... with free dental care and a stock plan that helps you invest! But beware of his generous pensions, plus three weeks paid vacation each year... and on Fridays, the lunchroom serves hot dogs and burgers and beer! He loves German beer!', 'I am here to welcome you on behalf of the President of the Globex Corporation. Me!', 'On your way out, if you wanna kill somebody, it would help me a lot.', 'It was either this or a Porsche!']",Alive
137,,,Male,Sanjay Nahasapeemapetilon,Sales Clerk at the Kwik-E-Mart,/character/137.webp,[],Alive
138,,,Male,"Nedward Flanders, Sr.",Retired,/character/138.webp,"['Oh man! Ned spilt ink over my poems! He is a real flat tire, I mean a cube man! Hes putting us on a trip to Squaresville, Mona!']",Alive
139,,,Unknown,Bartman (character),Unknown,/character/139.webp,['Do the Bartman!'],Unknown
140,10,,Male,Hugo Simpson II,Student,/character/140.webp,['I made a Pigeon-rat.'],Alive
141,,,Male,Horatio McCallister,EntrepreneurPeriscope operator,/character/141.webp,[],Alive
142,2,,Male,Gino Terwilliger,Murderer,/character/142.webp,"['Bart Simpson! Bart Simpson! Bart Simpson! I make like-a my daddy! I CUT CUT!!!', 'VENDETTA! VENDETTA!', 'FARFALLA! VENDETTA!']",Alive
143,,,Female,Librarian,Second grade teacher,/character/143.webp,[],Alive
144,,,Unknown,Snowball V,Unknown,/character/144.webp,[],Alive
145,,,Male,Black hole aliens,Unknown,/character/145.webp,[],Alive
146,,,Male,Remus Krupp,Unknown,/character/146.webp,[],Alive
147,,,Female,Helen Feesh,Organ player for the First Church of Springfield,/character/147.webp,[],Alive
148,,,Female,Jeremy's Girlfriend (couch gag),Unknown,/character/148.webp,[],Alive
149,,,Male,Wainwright Montgomery Burns,Plantation Slave Owner during the Antebellum South. (1860 - 1865),/character/149.webp,[],Deceased
150,,,Female,Crystal Meth Spuckler,Former star of The Krusty the Clown Show,/character/150.webp,['♪And feast on road kill♪'],Alive
151,,,Unknown,Pie Man,Superhero,/character/151.webp,"['Whatever injustice shows its ugly face, I will be there, for I am the Pie Man.']",Unknown
152,,,Unknown,Anastasia,Unknown,/character/152.webp,[],Deceased
153,,,Male,Mexican Duffman,Advertiser for Duff Beer,/character/153.webp,[],Alive
154,,,Male,Anoop Nahasapeemapetilon,Unknown,/character/154.webp,['Daddy.'],Alive
155,,,Male,Gloria's Husband,Unknown,/character/155.webp,[],Alive
156,,,Male,Clancy Bouvier,Navy sailor (formerly),/character/156.webp,"['When that Simpson boy showed up, it took years off my life!', 'Dont look at me! DONT LOOK AT ME!']",Deceased
157,,,Male,Jeremy (network executive),Network executive (formerly),/character/157.webp,['You can kill me but two more will take my place!'],Alive
158,,,Male,Jimmy the Snitch,Mafia associate unknown undercover,/character/158.webp,[],Unknown
159,,,Unknown,Springfield bears,Unknown,/character/159.webp,[],Unknown
160,,,Male,Dr. Zitsofsky,Unknown,/character/160.webp,[],Unknown
161,,,Male,Mike's Student 3,5th Grade student at Springfield Elementary School,/character/161.webp,[],Alive
162,,,Male,Prius Albertson,Unknown,/character/162.webp,[],Alive
163,,,Female,Lady Gaga,Singer,/character/163.webp,[],Alive
164,,,Male,Strongman Homer,Unknown,/character/164.webp,[],Unknown
165,,,Male,Mr. Burns' Security Guards,Security guards,/character/165.webp,[],Alive
166,,,Male,Mr. Mitchell,Unknown,/character/166.webp,[],Alive
167,,,Female,Maw Spuckler,Unknown,/character/167.webp,[],Alive
168,,,Unknown,Stretch Dude,Unknown,/character/168.webp,['I must only use this power to annoy!'],Unknown
169,,,Male,"Nelson Muntz, Jr.",Grade School Student,/character/169.webp,[],Alive
170,,,Male,Cayman Islands banker,Banker,/character/170.webp,[],Alive
171,,,Female,Renee,Florist,/character/171.webp,[],Alive
172,,,Male,Ralph (Moaning Lisa),Student at Springfield Elementary School,/character/172.webp,[],Alive
173,,,Female,Ginger Flanders,Waitress,/character/173.webp,[],Alive
174,,,Female,Old Lady Unnamed with Pink dress,Unknown,/character/174.webp,[],Alive
175,,,Female,Paris Texan,Unknown,/character/175.webp,[],Alive
176,,,Unknown,Scratchy,Unknown,/character/176.webp,[],Fictional
177,,,Male,Chet Simpson,Owner of an unsuccessful shrimp company,/character/177.webp,[],Alive
178,,,Female,Francine Rhenquist,Student at Springfield Elementary School,/character/178.webp,"['Suck fist, Dr. Dork!']",Alive
179,,,Female,Female Brown have a Ring and Light Green Dress,History,/character/179.webp,[],Alive
180,,,Male,Jack Lassen,Teacher (formerly)Prison Guard,/character/180.webp,[],Alive
181,,,Unknown,John Mulaney,Unknown,/character/181.webp,[],Unknown
182,,,Male,The Parson,Leader of the Presbylutheran faith practiced in Springfield,/character/182.webp,[],Alive
183,,,Male,International Harvester Spuckler,Homeschooled studentFormer star of The Krusty the Clown Show,/character/183.webp,[],Alive
184,,,Male,Garth Motherloving,CEO of Motherloving Sweets and Sugar Company,/character/184.webp,[],Alive
185,,,Male,Michael Moore ,Filmmaker,/character/185.webp,[],Alive
